charger_id,longitude,latitude,site_id,total_duration,total_volume,avg_power
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItNjEy,145.13498137,-37.9121995629,49,7623.416666666663,167715.16666666666,22.000000000000004
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItNjMw,144.9712506,-37.8177027,50,790.980952380952,8700.790476190476,11.000000000000004
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItNjQ1,145.1240907,-37.7878712,51,14495.906086880801,101471.34260816562,7.0
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItNjU0,144.9147733,-37.6163148,52,7104.43849206349,49782.402777777774,7.0
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItNjg1,144.96951826,-37.7024739201,53,22932.07489451476,573301.8723628692,25.0
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItNzA5,144.961926,-37.773814,54,11986.559523809521,709434.365079365,64.69976824053047
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItNzEw,144.9620273,-37.77148,55,12583.353505291005,276833.7771164021,22.0
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItNzU1,144.769309537,-37.8654587772,56,9166.974867724864,201673.44708994706,22.000000000000004
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItODA0,144.90470618,-37.8631194809,57,10124.33333333333,222735.3333333333,22.000000000000004
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItODIy,145.017694096,-37.9593821797,58,9497.90939153439,637161.6567460317,68.54418881841342
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItODMx,145.022761816,-37.8808635251,59,9676.583333333332,67736.08333333333,7.0
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItODY3,144.96149892,-37.7189034744,60,24691.789096585082,1235610.2881625872,50.043556222222705
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItOTQ5,144.893570264,-38.461879207,61,6664.041666666664,146608.91666666666,22.0
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItOTY2,145.14202706499998,-37.7232062322,62,8165.074074074071,57155.51851851852,7.0
