address,suburb,latitude,longitude,charger_name
"Croajingalong Centre - Greer Street, MALLACOOTA VIC 3892",Gippsland,-37.557954,149.758297,Mallacoota
"1B Willis St/Barwon Terrace, Winchelsea",Barwon South West,-38.240486,143.991042,Winchelsea
"Warrnambool Visitor Information Centre, 89 Merri Street, WARRNAMBOOL VIC 3280",Barwon South West,-38.38940775,142.48503475,Warrnambool
"Aireys Inlet Community Centre, 6 Great Ocean Road, AIREYS INLET VIC 3230",Barwon South West,-38.45606232,144.10832958,Aireys Inlet
"Level 1, 30 Nolan Street, MANSFIELD VIC 3722",Hume,-37.05134578,146.08966778,Mansfield
"Australian Ballet Theatre - 2 Kavanagh St, Southbank VIC 3006",Port Phillip,-37.82245858,144.96891707,Melbourne
"Federation Park, Punt Road, COBRAM VIC 3644",Hume,-35.92029708,145.64434862,Cobram
"240 Pioneer Road, GROVEDALE VIC 3216",Barwon South West,-38.19683893,144.32015927,Grovedale
"30 Penisula Drive, Drysdale VIC 3216",Barwon South West,-38.188427,144.555593,Drysdale
"126 High Street, HEATHCOTE VIC 3523",Loddon Mallee,-36.92407151,144.71049727,Heathcote
"61 Curtis St, BALLARAT CENTRAL VIC 3350",Grampians,-37.56115436,143.86274767,Ballarat Central
"126 Baillie St, HORSHAM VIC 3400",Grampians,-36.71153251,142.20194493,Horsham
"Albert St (Car Park), KERANG VIC 3579",Loddon Mallee,-35.73437546,143.9215653,Kerang
"Maryborough Railway Station, Station St, MARYBOROUGH VIC 3465",Loddon Mallee,-37.05131349,143.74211386,Maryborough
"438 High St, ECHUCA VIC 3564",Loddon Mallee,-36.12731021,144.74815756,Echuca
"Gateway Visitor Centre King George St, COHUNA VIC 3568",Loddon Mallee,-35.80844516,144.22137154,Cohuna
"Storm Lane, INGLEWOOD VIC 3517",Loddon Mallee,-36.5754726,143.86755329,Inglewood
"Corner Burke St & Wimmera Hwy, NEWBRIDGE VIC 3551",Loddon Mallee,-36.74027311,143.9001971,Newbridge
"7 High St, HARCOURT VIC 3453",Loddon Mallee,-36.99865467,144.26078863,Harcourt
"Warragul Homemaker Centre, 57 Hazel Drive",Gippsland,-38.15903434,145.93364922,Warragul
"Port of Sale, Canal Rd (in car park), SALE 3850",Gippsland,-38.11255282,147.06330274,Sale
"42 George St, ROBINVALE VIC 3549",Loddon Mallee,-34.58452561,142.77477962,Robinvale
"11 Oke St, OUYEN VIC 3490",Loddon Mallee,-35.07104051,142.31530724,Ouyen
"135 Curlewis St, SWAN HILL VIC 3585",Loddon Mallee,-35.34039826,143.56158951,Swan Hill
"115 Best St, SEA LAKE VIC 3533",Loddon Mallee,-35.50401204,142.85172735,Sea Lake
"Fairview St, WYCHEPROOF VIC 3527",Loddon Mallee,-36.07897673,143.22654305,Wycheproof
"Jacka Park/Chapel St, WEDDERBURN VIC 3518",Loddon Mallee,-36.41861417,143.61317742,Wedderburn
"77 Mclennan St, MOOROOPNA VIC 3629",Hume,-36.3948694,145.35991594,Mooroopna
"8 Fraser St, SHEPPARTON VIC 3630",Hume,-36.38037879,145.40025533,Shepparton
"33 Forest St, CASTLEMAINE VIC 3450",Loddon Mallee,-37.06671023,144.21778843,Castlemaine
"1 Hutton St, KYNETON VIC 3444",Loddon Mallee,-37.24694181,144.45261659,Kyneton
"290 Glenferrie Road, MALVERN VIC 3144",Port Phillip,-37.85574811,145.02963594,Malvern
"Civic Centre, 113 High Street, BROADFORD VIC 3658",Hume,-37.20273946,145.04862505,Broadford
"Kilmore Library, 12 Sydney Street, KILMORE VIC 3764",Hume,-37.2940459,144.95207431,Kilmore
"McKenzie Reserve, Melba Highway, YARRA GLEN VIC 3775",Port Phillip,-37.65561797,145.37291238,Yarra Glen
"Business and Hospitality precinct, 254-248 Chesterville Road, MOORABBIN VIC 3189",Port Phillip,-37.94125806,145.06044581,Moorabbin
"Basalt Wines, 1131 Princes Highway, KILLARNEY VIC 3283",Barwon South West,-38.33950575,142.32751728,KILLARNEY
"URBNSURF, 309 Melrose Drive, TULLAMARINE VIC 3045",Port Phillip,-37.68733321,144.8684592,Tullamarine
"Community Centre, 45 Princes Highway, WERRIBEE VIC 3030",Port Phillip,-37.89691375,144.67061783,Werribee
"22 Synnot Street, WERRIBEE VIC 3030",Port Phillip,-37.9017665,144.66236246,Werribee
"9-11 George Street, HEYFIELD VIC 3858",Gippsland,-37.97996616,146.78644557,Heyfield
