site,longitude,latitude,charger_num,total_duration,total_volume,avg_power,perimeter,area
33,145.159594,-37.9058135,1,4949.628731343282,108891.83208955223,22.000000000000004,236.16407189631397,4342.793432862158
34,144.885526826,-37.7136505213,1,30849.91666666666,10797470.833333334,350.0,235.80325924491305,4331.506224175784
35,144.831557706,-37.8634220749,1,35040.0,1752000.0,50.0,236.08416354540452,4340.294205347012
36,145.231898,-37.986473,1,3599.840836247085,25918.854020979023,7.200000000000003,236.3166072037673,4347.563327283729
37,144.981272,-37.8543276,1,4677.342680825531,102901.53897816168,22.000000000000007,236.06704346180092,4339.758715837941
38,145.124083208,-37.821678049,1,7567.232558139532,52970.62790697674,7.0,236.00564881014515,4337.838274334818
39,145.250265719,-38.1069359,1,9484.462962962962,208789.16666666666,22.004276755672866,236.54561930670383,4354.722677137997
40,144.99889245,-37.8178352208,1,7727.166666666665,54090.166666666664,7.0,235.99842960769132,4337.612444120608
41,144.9982549,-37.8181912,1,558.2499999999998,3907.749999999999,7.000000000000003,235.9990982954458,4337.633362024867
42,145.073026,-37.7018751,1,2928.249999999998,20497.749999999996,7.0,235.7812671222812,4330.818053194453
43,145.0436879,-37.8760732,1,11759.09259259259,587954.6296296295,50.0,236.1079924880017,4341.039514693156
44,145.070935,-37.678694,1,0.0,0.0,0.0,235.7380130215286,4329.464492444512
45,145.18007156,-37.9528594835,1,10215.74382716049,224746.36419753084,22.000000000000004,236.25296223885653,4345.573232860487
46,145.050275364,-37.9369555582,1,9937.650793650791,218628.31746031743,22.000000000000004,236.22288827295995,4344.632793851
47,145.1398749,-37.9209923,1,2815.0694444444434,61931.527777777774,22.000000000000007,236.1927273086794,4343.689591963741
48,145.104433007,-37.8540197685,1,5928.416666666665,62248.37500000001,10.500000000000004,236.0664641205026,4339.7405947002535
49,145.13498137,-37.9121995629,1,7623.416666666663,167715.16666666666,22.000000000000004,236.1761250968246,4343.170385025938
50,144.9712506,-37.8177027,1,790.980952380952,8700.790476190476,11.000000000000004,235.99818067883223,4337.604657113565
51,145.1240907,-37.7878712,1,14495.906086880801,101471.34260816562,7.0,235.94218852404916,4335.853033954331
52,144.9147733,-37.6163148,1,7104.43849206349,49782.402777777774,7.0,235.6218787156138,4325.829839489713
53,144.96951826,-37.7024739201,1,22932.07489451476,573301.8723628692,25.0,235.78238516902013,4330.853039328431
54,144.961926,-37.773814,1,11986.559523809521,709434.365079365,64.69976824053047,235.91583421365203,4335.028531602055
55,144.9620273,-37.77148,1,12583.353505291005,276833.7771164021,22.0,235.91146032988897,4334.891690203751
56,144.769309537,-37.8654587772,1,9166.974867724864,201673.44708994706,22.000000000000004,236.08799869525924,4340.4141609628605
57,144.90470618,-37.8631194809,1,10124.33333333333,222735.3333333333,22.000000000000004,236.083593789013,4340.276384453627
58,145.017694096,-37.9593821797,1,9497.90939153439,637161.6567460317,68.54418881841342,236.2653037628996,4345.959150839216
59,145.022761816,-37.8808635251,1,9676.583333333332,67736.08333333333,7.0,236.11701939838085,4341.321846808494
60,144.96149892,-37.7189034744,1,24691.789096585082,1235610.2881625872,50.043556222222705,235.8130741870536,4331.81334311659
61,144.893570264,-38.461879207,1,6664.041666666664,146608.91666666666,22.0,237.22888127762772,4376.0683228727
62,145.14202706499998,-37.7232062322,1,8165.074074074071,57155.51851851852,7.0,235.8211157399345,4332.064967643117
