LOCATION,REGION,LEAD_ORGAN,LATITUDE,ESTIMATED_,ADDRESS,PLUG_TYPE,LONGITUDE,CHARGERS,NEARBY_AME,DCAV_SITE,COMPANY,PLUGSHARE_,NUMBER_OF_,longitude,latitude
Newbridge,Loddon Mallee,,-36.74027311,,"Corner Burke St & Wimmera Hwy, NEWBRIDGE VIC 3551",1 x CHAdeMO and 1 x CCS2/SAE,143.9001971,1 x 25kW Charger,,NO,Evie Networks,https://www.plugshare.com/location/317582,1.0,143.9001971,-36.740273109999976
Harcourt,Loddon Mallee,,-36.99865467,,"7 High St, HARCOURT VIC 3453",1 x CHAdeMO and 1 x CCS2/SAE,144.26078863,1 x 25kW Charger,,NO,Evie Networks,https://www.plugshare.com/location/316307,1.0,144.2607886300001,-36.99865466999995
Warragul,Gippsland,Evie Networks,-38.15903434,January 2024,"Warragul Homemaker Centre, 57 Hazel Drive","1 x CCS2, 1 x CHAdeMO",145.93364922,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Shopping, Supermarket, Accommodation, Recreation Reserve",NO,Evie Networks,https://www.plugshare.com/location/562148,1.0,145.953105681,-38.16734402099996
Sale,Gippsland,,-38.11255282,,"Port of Sale, Canal Rd (in car park), SALE 3850",1 x CHAdeMO and 1 x CCS2/SAE,147.06330274,1 x 75kW Fast Charger,,NO,Evie Networks,https://www.plugshare.com/location/307756,1.0,147.06330274000004,-38.11255281999996
Robinvale,Loddon Mallee,,-34.58452561,,"42 George St, ROBINVALE VIC 3549",1 x CHAdeMO and 1 x CCS2/SAE,142.77477962,1 x 50kW Fast Charger,,NO,Evie Networks,https://www.plugshare.com/location/338433,1.0,142.77477962000012,-34.58452560999996
Ouyen,Loddon Mallee,,-35.07104051,,"11 Oke St, OUYEN VIC 3490",1 x CHAdeMO and 1 x CCS2/SAE,142.31530724,1 x 50kW Fast Charger,,NO,Evie Networks,https://www.plugshare.com/location/337330,1.0,142.31530724000004,-35.07104050999993
Swan Hill,Loddon Mallee,,-35.34039826,,"135 Curlewis St, SWAN HILL VIC 3585",1 x CHAdeMO and 1 x CCS2/SAE,143.56158951,1 x 50kW Fast Charger,,NO,Evie Networks,https://www.plugshare.com/location/338502,1.0,143.5615895100001,-35.34039825999997
Sea Lake,Loddon Mallee,,-35.50401204,,"115 Best St, SEA LAKE VIC 3533",1 x CHAdeMO and 1 x CCS2/SAE,142.85172735,1 x 50kW Fast Charger,,NO,Evie Networks,https://www.plugshare.com/location/337329,1.0,142.85172735000003,-35.504012039999964
Wycheproof,Loddon Mallee,,-36.07897673,,"Fairview St, WYCHEPROOF VIC 3527",1 x CHAdeMO and 1 x CCS2/SAE,143.22654305,1 x 50kW Fast Charger,,NO,Evie Networks,https://www.plugshare.com/location/337326,1.0,143.22654305000003,-36.078976729999965
Wedderburn,Loddon Mallee,,-36.41861417,,"Jacka Park/Chapel St, WEDDERBURN VIC 3518",1 x CHAdeMO and 1 x CCS2/SAE,143.61317742,1 x 50kW Fast Charger,,NO,Evie Networks,https://www.plugshare.com/location/342215,1.0,143.61317742000006,-36.418614169999955
